salesId,dateTime,carPlate,custId,employeeId
A0001,2023-06-01T02:38:22Z,ABC123,C0005,E0007
A0002,2023-06-02T10:40:15Z,XYZ789,C0012,E0010
A0003,2023-06-05T18:47:22Z,MNO456,C0034,E0004
A0004,2023-06-06T20:49:35Z,PQR234,C0076,E0009
A0005,2023-06-07T22:51:48Z,GHI567,C0045,E0012
A0006,2023-06-09T00:54:01Z,JKL678,C0089,E0006
A0007,2023-06-10T02:56:14Z,STU901,C0067,E0014
A0008,2023-06-13T09:02:53Z,VWX234,C0023,E0008
A0009,2023-06-14T11:05:06Z,CDE345,C0056,E0011
A0010,2023-06-15T13:07:19Z,FGH456,C0098,E0005
A0011,2023-06-16T15:09:32Z,IJK567,C0078,E0015
A0012,2023-06-17T17:11:45Z,LMO678,C0032,E0001
A0013,2023-06-18T19:13:58Z,NOP789,C0006,E0013
A0014,2023-06-22T01:20:37Z,QRS901,C0027,E0002
A0015,2023-06-23T03:22:50Z,TUV012,C0065,E0003
A0016,2023-06-24T05:25:03Z,WXY123,C0084,E0010
A0017,2023-06-26T09:29:29Z,ZAB234,C0091,E0004
A0018,2023-06-27T11:31:42Z,CDF345,C0059,E0009
A0019,2023-06-29T15:36:08Z,GHI456,C0028,E0012
A0020,2023-06-30T20:49:35Z,JLM567,C0036,E0006
A0021,2023-07-01T22:51:48Z,MNO678,C0044,E0014
A0022,2023-07-03T00:54:01Z,PQR7890,C0021,E0008
A0023,2023-07-04T02:56:14Z,RST901,C0017,E0011
A0024,2023-07-05T04:58:27Z,ZBC234,C0090,E0005
A0025,2023-07-07T09:02:53Z,FEG456,C0074,E0015
A0026,2023-07-08T11:05:06Z,MNP7892,C0030,E0001
A0027,2023-07-09T13:07:19Z,QRT901,C0051,E0013
A0028,2023-07-10T15:09:32Z,UVW012,C0025,E0002
A0029,2023-07-11T17:11:45Z,XYZ123,C0047,E0003
A0030,2023-07-13T21:16:11Z,BAC2343,C0063,E0010
A0031,2023-07-14T23:18:24Z,DEF345,C0082,E0004
A0032,2023-07-17T03:22:50Z,HJK456,C0094,E0009
A0033,2023-07-18T05:25:03Z,LNO567,C0072,E0012
A0034,2023-07-19T07:27:16Z,PQR678,C0038,E0006
A0035,2023-07-20T09:29:29Z,STU789,C0053,E0014
A0036,2023-07-21T09:31:24Z,WXY901,C0029,E0008
A0037,2023-07-22T11:33:37Z,ZDE012,C0061,E0011
A0038,2023-07-23T13:35:50Z,FGL123,C0086,E0005
A0039,2023-07-24T15:38:03Z,JMO234,C0041,E0015
A0040,2023-07-26T19:42:29Z,NRS3454,C0057,E0001
A0041,2023-07-27T21:44:42Z,TWX456,C0075,E0013
A0042,2023-07-30T01:49:08Z,ZGH567,C0031,E0002
A0043,2023-07-31T03:51:21Z,BKL678,C0055,E0003
A0044,2023-08-01T05:53:34Z,BFG678,C0077,E0010
A0045,2023-08-02T07:55:47Z,DHI789,C0035,E0004
A0046,2023-08-03T09:58:00Z,FJK9015,C0067,E0009
A0047,2023-08-04T12:00:13Z,HLM012,C0092,E0012
A0048,2023-08-06T16:04:39Z,JNO1236,C0051,E0006
A0049,2023-08-07T18:06:52Z,LPR234,C0095,E0011
A0050,2023-08-09T22:11:18Z,NST345,C0043,E0005
A0051,2023-08-10T12:13:31Z,PVW456,C0040,E0015
A0052,2023-08-11T14:15:44Z,RCD123,C0007,E0001
A0053,2023-08-12T16:17:57Z,TEF2347,C0071,E0013
A0054,2023-08-13T18:20:10Z,VGH345,C0034,E0002
A0055,2023-08-14T20:22:23Z,XIJ4568,C0058,E0003
A0056,2023-08-15T22:24:36Z,ZLM567,C0020,E0010
A0057,2023-08-17T00:26:49Z,BNO678,C0018,E0004
A0058,2023-08-18T02:29:02Z,DQR7899,C0001,E0009
A0059,2023-08-19T04:31:15Z,FST901,C0073,E0012
A0060,2023-08-21T08:35:41Z,HUV012,C0039,E0006
A0061,2023-08-22T10:37:54Z,JWX123,C0062,E0014
A0062,2023-08-26T18:46:46Z,LZY234,C0085,E0008
A0063,2023-08-27T20:48:59Z,NAB345,C0048,E0011
A0064,2023-08-28T22:51:12Z,PDE4560,C0024,E0005
A0065,2023-08-30T00:53:25Z,RGH567,C0014,E0015
A0066,2023-08-31T02:55:38Z,TIJ6781,C0097,E0001
A0067,2023-09-01T04:57:51Z,VLM789,C0042,E0013
A0068,2023-09-03T09:02:17Z,XNO901,C0024,E0005
A0069,2023-09-04T11:04:30Z,ZQR0122,C0066,E0015
A0070,2023-09-06T15:08:56Z,BST123,C0097,E0001
A0071,2023-09-08T19:13:22Z,DUV234,C0042,E0013
A0072,2023-09-10T23:17:48Z,FXY345,C0033,E0002
A0073,2023-09-12T01:20:01Z,HBC4563,C0052,E0003
A0074,2023-09-13T03:22:14Z,JEF567,C0064,E0010
A0075,2023-09-14T05:24:27Z,LGH6784,C0087,E0004
A0076,2023-09-15T12:34:56Z,NIJ789,C0045,E0009
A0077,2023-09-16T23:45:12Z,PKL901,C0022,E0012
A0078,2023-09-18T10:11:22Z,RNO012,C0015,E0006
A0079,2023-09-19T14:15:16Z,TQR123,C0037,E0014
A0080,2023-09-20T18:19:10Z,VST234,C0046,E0008
A0081,2023-09-22T07:23:04Z,WUV345,C0026,E0011
A0082,2023-09-23T21:26:58Z,YBC456,C0008,E0005
A0083,2023-09-25T08:30:52Z,ZDE5675,C0070,E0015
A0084,2023-09-26T13:34:46Z,JKT567,C0054,E0001
A0085,2023-09-27T19:38:40Z,RQZ1230,C0060,E0013
A0086,2023-09-29T06:42:34Z,BNG789,C0020,E0002
A0087,2023-09-30T20:46:28Z,XYP4567,C0013,E0004
A0088,2023-10-02T07:50:22Z,MVC901,C0002,E0009
A0089,2023-10-03T12:54:16Z,LGH2345,C0057,E0012
A0090,2023-10-04T18:58:10Z,WFD678,C0044,E0006
A0091,2023-10-06T05:02:04Z,ZTR3456,C0022,E0014
A0092,2023-10-07T19:05:58Z,HJK1026,C0016,E0008
A0093,2023-10-09T06:09:52Z,NML5678,C0054,E0011
A0094,2023-10-10T11:13:46Z,CDE304,C0050,E0005
A0095,2023-10-11T17:17:40Z,VBN6789,C0026,E0015
A0096,2023-10-13T04:21:34Z,QWE405,C0009,E0001
A0097,2023-10-14T18:25:28Z,ASD1237,C0079,E0013
A0098,2023-10-16T12:00:21Z,YUI607,C0003,E0002
A0099,2023-10-20T13:14:15Z,OPR7890,C0058,E0003
A0100,2023-10-21T08:50:55Z,GFD908,C0020,E0010
